,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,bonavista,100,CA,1567556632,79,48.65,-53.11,57.99,3.0
89,merauke,93,ID,1567556633,83,-8.49,140.4,75.1,17.18
90,ancud,0,CL,1567556634,70,-41.87,-73.83,44.6,6.93
91,chaozhou,20,CN,1567556636,94,23.66,116.62,80.6,4.47
92,danane,98,CI,1567556637,99,7.26,-8.15,68.44,2.24
93,malanje,1,AO,1567556639,74,-9.54,16.35,68.44,8.52
94,bredasdorp,76,ZA,1567556640,76,-34.53,20.04,55.99,6.93
95,sumenep,36,ID,1567556372,75,-7.02,113.87,75.1,2.24
96,east london,0,ZA,1567556643,81,-33.02,27.91,52.06,5.64
97,saint-philippe,90,CA,1567556557,63,45.36,-73.48,64.4,6.93
98,henties bay,0,NA,1567556645,93,-22.12,14.28,53.01,1.99
99,isangel,20,VU,1567556647,60,-19.55,169.27,75.2,5.82
100,vila velha,20,BR,1567556648,69,-3.71,-38.6,80.6,13.87
101,adwa,92,ET,1567556649,77,14.16,38.9,62.14,0.81
102,verkhoyansk,52,RU,1567556651,58,67.55,133.39,44.32,5.44
103,college,75,US,1567556652,52,64.86,-147.8,64.99,10.29
104,champerico,40,MX,1567556654,48,16.38,-93.6,87.8,4.7
105,arraial do cabo,33,BR,1567556655,92,-22.97,-42.02,71.14,9.13
106,kulhudhuffushi,100,MV,1567556656,79,6.62,73.07,81.58,10.96
107,qaanaaq,7,GL,1567556658,53,77.48,-69.36,30.46,4.81
108,lisakovsk,100,KZ,1567556659,77,52.55,62.49,49.72,6.96
109,knysna,68,ZA,1567556660,76,-34.04,23.05,55.4,6.93
110,manokwari,97,ID,1567556662,84,-0.87,134.08,76.54,4.81
111,teya,75,MX,1567556663,70,21.05,-89.07,87.8,11.41
112,amurzet,0,CN,1567556665,78,47.69,131.09,64.84,5.37
113,bethel,90,US,1567556389,67,60.79,-161.76,59.0,18.34
114,avarua,13,CK,1567556611,60,-21.21,-159.78,75.2,11.41
115,port alfred,19,ZA,1567556668,83,-33.59,26.89,60.01,4.0
116,hasaki,75,JP,1567556670,94,35.73,140.83,73.4,8.05
117,abha,0,SA,1567556626,64,18.22,42.5,68.0,4.16
118,caraquet,1,CA,1567556672,87,47.79,-64.94,53.6,9.46
119,burevestnik,7,UA,1567556674,59,45.45,34.65,68.44,6.06
120,bereda,0,ES,1567556675,82,43.27,-7.54,64.0,1.12
121,altay,12,CN,1567556676,59,47.83,88.13,49.54,5.75
122,morondava,0,MG,1567556678,55,-20.3,44.28,74.74,12.53
123,nivala,0,FI,1567556679,94,63.93,24.96,46.99,4.79
124,manaure,75,CO,1567556680,49,11.78,-72.45,93.2,12.75
125,alice springs,0,AU,1567556682,9,-23.7,133.88,78.8,13.87
126,portland,75,US,1567556683,93,43.66,-70.25,64.99,5.82
127,wanning,0,AT,1567556685,100,48.64,13.53,54.0,1.12
128,butaritari,51,KI,1567556686,66,3.07,172.79,84.46,3.06
129,ostrovnoy,100,RU,1567556687,83,68.05,39.51,52.24,9.42
130,tautira,40,PF,1567556601,74,-17.73,-149.15,82.4,3.36
131,plettenberg bay,68,ZA,1567556690,89,-34.05,23.37,52.42,5.93
132,bronnoysund,100,NO,1567556691,87,65.46,12.2,50.0,18.34
133,gashua,89,NG,1567556693,42,12.87,11.04,85.9,8.19
134,mineral wells,1,US,1567556485,35,32.81,-98.11,93.99,5.82
135,longyearbyen,90,NO,1567556695,95,78.22,15.63,32.0,2.24
136,vysokogornyy,33,RU,1567556697,72,50.1,139.13,59.44,4.72
137,nelson bay,0,AU,1567556698,59,-32.72,152.14,70.0,10.29
138,port elizabeth,1,US,1567556577,73,39.31,-74.98,77.0,4.7
139,upernavik,22,GL,1567556701,58,72.79,-56.15,37.84,11.54
140,erenhot,30,CN,1567556702,24,43.65,111.97,72.58,8.81
141,gorele,40,TR,1567556703,83,41.03,39.0,70.0,4.7
142,quang ngai,100,VN,1567556677,79,15.12,108.8,76.54,1.77
143,vestmanna,84,FO,1567556706,66,62.16,-7.17,48.2,11.41
144,la vega,75,DO,1567556707,66,19.22,-70.53,86.0,11.41
145,kurumkan,83,RU,1567556709,79,54.33,110.32,51.34,2.71
146,harper,75,US,1567556625,29,30.3,-99.24,93.2,6.93
147,chake chake,3,TZ,1567556711,79,-5.25,39.77,77.62,12.12
148,dikson,89,RU,1567556713,88,73.51,80.55,38.2,6.49
149,iqaluit,90,CA,1567556714,81,63.75,-68.52,42.8,23.04
150,monroe,75,US,1567556482,88,41.91,-83.4,77.0,10.42
151,hay river,75,CA,1567556717,67,60.82,-115.79,62.6,12.75
152,mar del plata,53,AR,1567556718,59,-46.43,-67.52,33.88,10.76
153,west wendover,1,US,1567556719,19,40.74,-114.07,91.4,9.17
154,san cristobal,46,HN,1567556720,52,14.68,-86.92,77.62,9.08
155,alofi,75,NU,1567556722,69,-19.06,-169.92,78.8,16.11
156,byron bay,0,AU,1567556645,26,-28.65,153.62,81.0,1.12
157,touros,20,BR,1567556725,88,-5.2,-35.46,75.2,4.7
158,malyye derbety,35,RU,1567556726,48,47.95,44.68,64.12,4.54
159,praia da vitoria,75,PT,1567556727,68,38.73,-27.07,69.8,18.19
160,dingle,100,PH,1567556729,78,11.0,122.67,80.32,5.06
161,deputatskiy,30,RU,1567556649,49,69.3,139.9,47.02,5.79
162,shaunavon,1,CA,1567556731,33,49.65,-108.41,76.0,9.55
163,padang,100,ID,1567556733,83,-0.92,100.36,81.58,16.51
164,port pirie,62,AU,1567556734,67,-33.18,138.01,60.8,9.17
165,vestmannaeyjar,0,IS,1567556688,64,63.44,-20.27,49.72,13.94
166,coahuayana,15,MX,1567556737,84,18.62,-100.35,80.68,1.97
167,jiancheng,40,CN,1567556738,94,30.39,104.55,75.0,2.24
168,mareeba,87,AU,1567556739,47,-16.99,145.42,79.0,8.05
169,fort nelson,75,CA,1567556715,60,58.81,-122.69,69.8,3.36
170,faanui,44,PF,1567556742,85,-16.48,-151.75,77.8,18.79
171,ialibu,100,PG,1567556743,98,-6.28,143.99,64.84,2.01
172,viloco,41,BO,1567556745,86,-16.87,-67.5,41.62,7.78
173,quesnel,1,CA,1567556746,28,52.98,-122.49,82.4,5.82
174,tiksi,65,RU,1567556747,91,71.64,128.87,40.18,6.8
175,cherskiy,0,RU,1567556748,40,68.75,161.3,50.8,4.03
176,caohai,49,CN,1567556750,93,26.87,104.28,57.1,4.83
177,saldanha,0,PT,1567556751,37,41.42,-6.55,71.14,2.01
178,nabire,100,ID,1567556753,98,-3.36,135.5,69.88,2.98
179,cape town,75,ZA,1567556630,93,-33.93,18.42,60.01,10.29
180,georgetown,20,GY,1567556749,74,6.8,-58.16,84.2,9.17
181,barahona,40,DO,1567556757,79,18.21,-71.1,84.2,11.41
182,sancti spiritus,98,CU,1567556758,89,21.93,-79.44,76.18,6.91
183,umba,100,RU,1567556759,75,66.69,34.34,49.18,5.03
184,myitkyina,95,MM,1567556761,99,25.38,97.4,73.12,2.08
185,basavana bagevadi,100,IN,1567556762,88,16.57,75.97,72.58,13.82
186,larsnes,39,NO,1567556763,62,62.2,5.58,53.6,11.41
187,port keats,94,AU,1567556736,60,-14.25,129.55,78.52,6.71
188,port augusta,62,AU,1567556766,67,-32.49,137.76,60.8,9.17
189,rocha,28,UY,1567556767,63,-34.48,-54.34,39.64,11.72
190,kavieng,54,PG,1567556769,77,-2.57,150.8,83.38,10.92
191,zhanaozen,1,KZ,1567556770,39,43.35,52.85,62.68,7.43
192,simpelveld,90,BE,1567556772,77,50.84,5.98,63.0,9.17
193,jalu,0,LY,1567556547,38,29.03,21.55,81.22,14.25
194,pasighat,100,IN,1567556726,99,28.06,95.33,70.42,2.75
195,khatanga,96,RU,1567556617,77,71.98,102.47,40.54,13.35
196,vardo,1,US,1567556777,54,39.62,-77.74,78.8,6.93
197,san jose,75,HN,1567556588,78,14.25,-87.96,73.4,9.17
198,nanortalik,100,GL,1567556779,92,60.14,-45.24,47.02,11.3
199,te anau,100,NZ,1567556780,84,-45.41,167.72,43.06,1.01
200,tsybli,75,UA,1567556782,82,49.99,31.57,60.8,11.18
201,kulebaki,0,RU,1567556783,89,55.41,42.53,47.38,3.2
202,saint-augustin,90,CA,1567556785,55,45.63,-73.98,64.4,8.05
203,san patricio,0,PY,1567556786,80,-26.98,-56.83,55.48,8.34
204,mabaruma,100,GY,1567556788,96,8.2,-59.78,75.1,2.66
205,nome,1,US,1567556661,49,30.04,-94.42,93.2,4.7
206,tecoanapa,40,MX,1567556790,74,16.99,-99.26,86.0,8.05
207,srostki,84,RU,1567556792,68,52.42,85.7,46.48,1.63
208,kruisfontein,15,ZA,1567556793,92,-34.0,24.73,50.98,8.39
209,nueva concepcion,75,GT,1567556795,88,14.2,-91.3,87.8,5.7
210,chokurdakh,39,RU,1567556619,63,70.62,147.9,47.38,9.46
211,can tho,75,VN,1567556515,100,10.04,105.78,78.8,8.05
212,yatou,75,CM,1567556799,100,3.63,9.81,77.0,2.24
213,bathsheba,40,BB,1567556800,74,13.22,-59.52,82.4,19.46
214,guerrero negro,0,MX,1567556748,80,27.97,-114.04,73.3,11.27
215,denizli,0,TR,1567556803,77,37.77,29.09,62.6,1.12
216,bulgan,62,MN,1567556804,92,48.81,103.53,54.04,3.24
217,jalapa,75,GT,1567556805,88,14.63,-89.98,68.0,2.24
218,kloulklubed,90,PW,1567556807,88,7.04,134.26,75.2,16.11
219,kongolo,52,CD,1567556711,62,-5.39,27.0,75.64,4.38
220,presevo,0,RS,1567556809,64,42.31,21.65,68.0,12.75
221,cidreira,71,BR,1567556730,62,-30.17,-50.22,52.96,4.54
222,collierville,20,US,1567556812,48,35.04,-89.66,89.6,4.7
223,roald,91,NO,1567556813,62,62.58,6.12,53.6,11.41
224,mizdah,0,LY,1567556815,83,31.45,12.98,66.28,7.09
225,muroto,75,JP,1567556816,74,33.37,134.14,80.6,8.05
226,itarema,0,BR,1567556817,75,-2.92,-39.92,77.08,12.24
227,gorom-gorom,12,BF,1567556819,55,14.45,-0.24,86.26,13.0
228,madison,40,US,1567556820,53,43.07,-89.38,75.99,9.17
229,limon,1,US,1567556821,41,39.26,-103.69,79.0,16.11
230,wolsztyn,0,PL,1567556823,67,52.11,16.12,60.01,4.7
231,port lincoln,64,AU,1567556739,84,-34.72,135.86,57.82,6.38
232,pacific grove,1,US,1567556825,60,36.62,-121.92,90.0,8.05
233,poum,98,MK,1567556827,70,41.28,20.71,59.26,4.76
234,creel,69,MX,1567556828,78,27.75,-107.63,64.84,7.87
235,ravar,0,IR,1567556830,25,31.27,56.81,64.3,1.63
236,nouadhibou,7,MR,1567556831,69,20.93,-17.03,75.2,16.11
237,barcelos,79,BR,1567556730,69,-0.97,-62.93,79.24,1.97
238,sao joao da barra,0,BR,1567556781,82,-21.64,-41.05,73.48,10.16
239,constitucion,75,MX,1567556835,46,23.99,-104.67,72.0,3.36
240,leningradskiy,99,RU,1567556836,80,69.38,178.42,35.32,2.71
241,mpanda,86,BI,1567556837,61,-3.17,29.4,64.48,4.38
242,burnie,65,AU,1567556556,73,-41.05,145.91,55.99,8.99
243,saskylakh,99,RU,1567556634,72,71.97,114.09,43.42,9.71
244,sechelt,75,CA,1567556841,73,49.47,-123.76,77.0,3.36
245,kibre mengist,77,ET,1567556842,94,5.87,38.99,55.12,0.96
246,alta floresta,29,BR,1567556777,27,-9.87,-56.08,86.62,0.78
247,lorengau,77,PG,1567556845,79,-2.02,147.27,82.48,7.18
248,kantang,99,TH,1567556846,92,7.42,99.52,77.08,0.58
249,digha,100,IN,1567556848,83,21.62,87.51,84.28,15.95
250,nemuro,20,JP,1567556636,60,43.32,145.57,68.0,5.82
251,caravelas,0,BR,1567556635,86,-17.73,-39.27,73.66,8.99
252,clyde river,90,CA,1567556851,100,70.47,-68.59,41.0,9.17
253,nuevo progreso,90,US,1567556853,88,26.05,-97.95,80.01,5.82
254,evensk,88,RU,1567556723,41,61.92,159.24,54.04,4.07
255,sola,30,TZ,1567556855,50,-3.17,33.8,70.24,11.21
256,torbay,90,CA,1567556857,93,47.66,-52.73,61.0,19.46
257,homer,75,US,1567556858,67,59.64,-151.54,63.0,10.29
258,narsaq,100,GL,1567556859,87,60.91,-46.05,46.4,5.82
259,tambun,88,ID,1567556861,94,-6.26,107.07,80.01,2.66
260,hami,24,CN,1567556862,33,42.84,93.51,73.84,5.75
261,dunedin,100,NZ,1567556812,74,-45.87,170.5,52.0,24.0
262,honiara,75,SB,1567556865,83,-9.43,159.96,82.4,3.36
263,cayenne,0,GF,1567556821,83,4.94,-52.33,80.6,6.93
264,tarbagatay,40,RU,1567556867,100,51.48,107.36,57.2,4.47
265,ust-nera,100,RU,1567556868,84,64.57,143.24,43.6,6.2
266,hithadhoo,2,MV,1567556870,77,-0.6,73.08,82.84,12.19
267,ribeira grande,55,PT,1567556744,73,38.52,-28.7,70.42,11.27
268,sibu,75,MY,1567556872,94,2.29,111.83,75.2,4.7
269,vallenar,0,CL,1567556874,86,-28.58,-70.76,45.76,2.08
270,hambantota,97,LK,1567556849,82,6.12,81.12,80.5,14.7
271,pelym,95,RU,1567556876,95,61.01,62.0,46.66,3.56
272,grand gaube,75,MU,1567556878,78,-20.01,57.66,71.6,2.24
273,rio tuba,68,PH,1567556879,77,8.51,117.43,83.74,15.59
274,lady lake,1,US,1567556880,74,28.92,-81.92,82.4,13.87
275,salinopolis,43,BR,1567556882,81,-0.61,-47.36,81.22,21.74
276,chernyshevskiy,96,RU,1567556883,92,63.01,112.47,50.08,5.84
277,cabo san lucas,40,MX,1567556604,48,22.89,-109.91,90.0,11.41
278,medicine hat,75,CA,1567556886,20,50.04,-110.68,84.99,10.29
279,lerwick,97,GB,1567556887,93,60.15,-1.15,55.4,12.75
280,ishigaki,75,JP,1567556888,88,24.34,124.16,82.4,24.16
281,havelock,1,US,1567556738,74,34.88,-76.9,81.0,4.7
282,mpophomeni,0,ZA,1567556891,62,-29.57,30.18,63.0,4.59
283,lakes entrance,12,AU,1567556714,74,-37.88,147.99,61.0,1.01
284,saint anthony,1,US,1567556594,16,43.97,-111.68,89.6,11.41
285,panaba,50,MX,1567556748,76,21.28,-88.27,82.48,11.34
286,pevek,0,RU,1567556896,78,69.7,170.27,39.1,1.48
287,gimli,71,CA,1567556898,57,50.63,-96.99,59.0,4.99
288,san vicente,20,EC,1567556899,78,-0.59,-80.41,73.4,12.75
289,sorland,100,NO,1567556900,79,67.67,12.69,52.06,30.36
290,oeiras,34,BR,1567556902,47,-7.01,-42.13,84.46,7.61
291,presidencia roque saenz pena,0,AR,1567556845,72,-26.79,-60.44,55.48,5.93
292,seoul,90,KR,1567556822,106,37.57,126.98,73.4,3.36
293,otane,100,NZ,1567556906,91,-39.89,176.62,57.0,8.01
294,pechora,39,RU,1567556907,82,65.12,57.16,43.6,3.58
295,karasuk,98,RU,1567556908,69,53.73,78.03,49.72,7.94
296,cerrito,40,CO,1567556910,73,6.84,-72.7,71.6,4.7
297,ternate,75,PH,1567556911,70,14.29,120.72,86.0,5.82
298,hervey bay,0,AU,1567556912,35,-25.3,152.85,82.99,5.82
299,garcia hernandez,100,PH,1567556914,76,9.61,124.29,82.48,6.58
300,morro bay,1,US,1567556915,50,35.37,-120.85,99.0,12.75
301,arua,97,UG,1567556916,95,3.02,30.91,62.5,1.99
302,plouzane,20,FR,1567556918,93,48.38,-4.62,57.99,4.7
303,severo-kurilsk,100,RU,1567556633,94,50.68,156.12,50.44,9.75
304,arenillas,75,EC,1567556920,83,-3.56,-80.07,89.6,8.05
305,tombouctou,49,ML,1567556922,40,16.77,-3.01,92.38,13.71
306,chicama,0,PE,1567556923,88,-7.84,-79.15,62.6,6.93
307,ponta do sol,83,BR,1567556924,40,-20.63,-46.0,74.56,0.58
308,atar,93,MR,1567556757,28,20.52,-13.05,94.54,11.77
309,andreapol,100,RU,1567556927,96,56.65,32.27,52.24,8.68
310,humboldt,2,CA,1567556928,51,52.21,-105.12,70.06,3.6
311,nishihara,90,JP,1567556930,88,35.74,139.53,79.0,8.05
312,megion,91,RU,1567556931,100,61.04,76.11,50.0,2.37
313,abu samrah,0,SY,1567556932,89,35.3,37.18,67.0,9.89
314,vao,59,EE,1567556934,93,59.1,26.19,49.36,6.04
315,esmeraldas,0,BR,1567556935,44,-19.76,-44.31,77.0,9.17
316,paita,0,PE,1567556792,94,-5.09,-81.11,62.32,13.78
317,phalaborwa,0,ZA,1567556938,51,-23.95,31.14,62.6,2.24
318,ocos,75,GT,1567556939,88,14.51,-92.19,78.8,3.49
319,caracal,69,RO,1567556940,72,44.11,24.35,68.0,10.29
320,codrington,0,AU,1567556736,26,-28.95,153.24,81.0,1.12
321,bergerac,0,FR,1567556943,81,44.85,0.49,60.01,4.54
322,tahoua,51,NE,1567556944,42,14.89,5.26,90.22,4.34
323,bay-khaak,92,RU,1567556946,76,51.16,94.47,54.22,3.62
324,cruzilia,91,BR,1567556800,85,-21.84,-44.81,65.02,4.63
325,saint george,20,GR,1567556948,72,39.45,22.34,68.0,1.66
326,carnduff,14,CA,1567556950,60,49.17,-101.8,66.0,4.0
327,angoche,98,MZ,1567556951,85,-16.23,39.91,69.7,4.85
328,cruz alta,0,AR,1567556952,45,-33.01,-61.81,36.0,1.99
329,klaksvik,85,FO,1567556690,66,62.23,-6.59,48.2,11.41
330,qaqortoq,100,GL,1567556675,87,60.72,-46.03,46.4,5.82
331,qasigiannguit,45,GL,1567556956,45,68.82,-51.19,48.2,19.46
332,sangar,0,RU,1567556957,57,63.92,127.47,46.12,10.76
333,zhangjiakou,84,CN,1567556959,40,40.77,114.88,65.38,0.92
334,gander,90,CA,1567556961,100,48.95,-54.61,60.8,10.29
335,sapele,100,NG,1567556962,95,5.89,5.68,75.1,2.66
336,kjollefjord,1,NO,1567556963,71,70.95,27.35,50.8,23.64
337,tel aviv-yafo,40,IL,1567556870,69,32.08,34.78,77.0,4.7
338,cardston,1,CA,1567556966,24,49.2,-113.32,82.0,11.41
339,sioux lookout,75,CA,1567556968,76,50.1,-91.92,51.8,3.36
340,nacala,2,MZ,1567556969,90,-14.56,40.69,67.9,10.31
341,klamath falls,1,US,1567556970,16,42.22,-121.78,87.01,4.7
342,kupang,20,ID,1567556972,54,-10.16,123.6,78.8,10.29
343,manta,100,RO,1567556973,59,45.1,24.1,66.82,4.09
344,lasa,40,CY,1567556974,78,34.92,32.53,75.2,4.7
345,sitka,0,US,1567556836,35,37.17,-99.65,93.0,7.0
346,uppsala,27,SE,1567556977,93,59.86,17.64,57.2,8.05
347,alanya,75,TR,1567556978,88,36.55,32.0,75.2,4.7
348,galle,100,GN,1567556788,93,10.08,-12.83,71.68,2.77
349,inta,6,RU,1567556981,90,66.04,60.13,42.88,7.09
350,puerto escondido,37,MX,1567556982,75,15.86,-97.07,82.84,3.02
351,grindavik,0,IS,1567556783,81,63.84,-22.43,46.4,9.17
352,santo antonio do ica,44,BR,1567556985,70,-3.1,-67.94,80.14,0.76
353,broome,89,GB,1567556986,77,52.47,1.45,64.99,9.17
354,karlskrona,9,SE,1567556987,100,56.16,15.59,53.6,4.7
355,jeremie,18,HT,1567556989,71,18.65,-74.12,83.02,2.64
356,oksfjord,88,NO,1567556990,58,70.24,22.35,53.6,13.87
357,paraiso,40,BR,1567556991,89,-0.03,-51.17,84.2,9.17
358,san andres,99,PH,1567556993,76,13.32,122.68,83.02,12.75
359,karema,30,TZ,1567556994,61,-6.82,30.44,77.8,7.56
360,marfino,0,RU,1567556995,77,56.07,37.56,64.0,6.71
361,eyl,0,SO,1567556997,64,7.98,49.82,76.54,30.29
362,marrakesh,20,MA,1567556936,73,31.63,-7.99,71.6,11.41
363,enshi,51,CN,1567556999,87,30.29,109.48,63.94,3.58
364,mongo,52,CD,1567557001,73,-5.62,14.6,71.86,6.17
365,tuatapere,100,NZ,1567556846,87,-46.13,167.69,52.0,1.01
366,lavrentiya,100,RU,1567557003,95,65.58,-170.99,45.4,9.95
367,zhaoyuan,18,CN,1567557005,86,45.52,125.08,71.32,10.31
368,liwale,0,TZ,1567557006,90,-9.8,37.92,60.34,6.15
369,kearney,1,US,1567557007,57,40.7,-99.08,78.8,11.41
370,dali,91,CN,1567557009,58,34.79,109.94,71.14,11.21
371,toccoa,1,US,1567557010,61,34.58,-83.33,84.99,2.8
372,zabol,0,IR,1567557012,21,31.03,61.49,82.4,26.4
373,straumen,75,NO,1567557013,81,63.87,11.3,52.0,11.41
374,hirara,75,JP,1567557014,94,24.8,125.28,75.2,18.34
375,tabou,56,CI,1567557017,95,4.42,-7.36,74.38,3.8
376,norman wells,90,CA,1567557019,87,65.28,-126.83,53.6,3.36
377,roseburg,1,US,1567557020,35,43.22,-123.34,84.2,12.75
378,corinto,40,CO,1567557022,65,3.17,-76.26,78.8,13.87
379,sale,52,AU,1567557023,88,-38.11,147.06,62.01,5.01
380,lascahobas,40,HT,1567557024,58,18.83,-71.94,87.8,13.87
381,coos bay,1,US,1567556754,68,43.37,-124.22,69.8,17.22
382,kholtoson,58,RU,1567557027,95,50.3,103.31,50.98,2.3
383,chapais,90,CA,1567557028,62,49.78,-74.86,51.8,6.93
384,ilanskiy,95,RU,1567557030,93,56.24,96.06,50.62,9.46
385,provideniya,75,RU,1567557031,87,64.42,-173.23,53.6,6.71
386,uyemskiy,40,RU,1567557033,93,64.47,40.85,59.0,6.71
387,turukhansk,53,RU,1567557034,85,65.8,87.96,42.16,5.21
